"column_position" "column_name" "column_type" "column_description" "original_name" "original_position"
39 "mean_time_body_angular_mag_deriv" "double" "mean of time domain body angular velocity magnitude derivative" "tBodyGyroJerkMag-mean()" 253
40 "std_time_body_angular_mag_deriv" "double" "standard deviation of time domain body angular velocity magnitude derivative" "tBodyGyroJerkMag-std()" 254
41 "mean_frequency_body_acceleration_x" "double" "mean of frequency domain body acceleration in the x direction" "fBodyAcc-mean()-X" 266
42 "mean_frequency_body_acceleration_y" "double" "mean of frequency domain body acceleration in the y direction" "fBodyAcc-mean()-Y" 267
43 "mean_frequency_body_acceleration_z" "double" "mean of frequency domain body acceleration in the z direction" "fBodyAcc-mean()-Z" 268
44 "std_frequency_body_acceleration_x" "double" "standard deviation of frequency domain body acceleration in the x direction" "fBodyAcc-std()-X" 269
45 "std_frequency_body_acceleration_y" "double" "standard deviation of frequency domain body acceleration in the y direction" "fBodyAcc-std()-Y" 270
46 "std_frequency_body_acceleration_z" "double" "standard deviation of frequency domain body acceleration in the z direction" "fBodyAcc-std()-Z" 271
47 "mean_frequency_body_acceleration_x_deriv" "double" "mean of frequency domain body acceleration in the x directionderivative" "fBodyAccJerk-mean()-X" 345
48 "mean_frequency_body_acceleration_y_deriv" "double" "mean of frequency domain body acceleration in the y directionderivative" "fBodyAccJerk-mean()-Y" 346
49 "mean_frequency_body_acceleration_z_deriv" "double" "mean of frequency domain body acceleration in the z directionderivative" "fBodyAccJerk-mean()-Z" 347
50 "std_frequency_body_acceleration_x_deriv" "double" "standard deviation of frequency domain body acceleration in the x directionderivative" "fBodyAccJerk-std()-X" 348
51 "std_frequency_body_acceleration_y_deriv" "double" "standard deviation of frequency domain body acceleration in the y directionderivative" "fBodyAccJerk-std()-Y" 349
52 "std_frequency_body_acceleration_z_deriv" "double" "standard deviation of frequency domain body acceleration in the z directionderivative" "fBodyAccJerk-std()-Z" 350
53 "mean_frequency_body_angular_x" "double" "mean of frequency domain body angular velocity in the x direction" "fBodyGyro-mean()-X" 424
54 "mean_frequency_body_angular_y" "double" "mean of frequency domain body angular velocity in the y direction" "fBodyGyro-mean()-Y" 425
55 "mean_frequency_body_angular_z" "double" "mean of frequency domain body angular velocity in the z direction" "fBodyGyro-mean()-Z" 426
56 "std_frequency_body_angular_x" "double" "standard deviation of frequency domain body angular velocity in the x direction" "fBodyGyro-std()-X" 427
57 "std_frequency_body_angular_y" "double" "standard deviation of frequency domain body angular velocity in the y direction" "fBodyGyro-std()-Y" 428
58 "std_frequency_body_angular_z" "double" "standard deviation of frequency domain body angular velocity in the z direction" "fBodyGyro-std()-Z" 429
59 "mean_frequency_body_acceleration_mag" "double" "mean of frequency domain body acceleration magnitude" "fBodyAccMag-mean()" 503
60 "std_frequency_body_acceleration_mag" "double" "standard deviation of frequency domain body acceleration magnitude" "fBodyAccMag-std()" 504
61 "mean_frequency_body_acceleration_mag_deriv" "double" "mean of frequency domain body acceleration magnitude derivative" "fBodyBodyAccJerkMag-mean()" 516
62 "std_frequency_body_acceleration_mag_deriv" "double" "standard deviation of frequency domain body acceleration magnitude derivative" "fBodyBodyAccJerkMag-std()" 517
63 "mean_frequency_body_angular_mag" "double" "mean of frequency domain body angular velocity magnitude" "fBodyBodyGyroMag-mean()" 529
64 "std_frequency_body_angular_mag" "double" "standard deviation of frequency domain body angular velocity magnitude" "fBodyBodyGyroMag-std()" 530
65 "mean_frequency_body_angular_mag_deriv" "double" "mean of frequency domain body angular velocity magnitude derivative" "fBodyBodyGyroJerkMag-mean()" 542
66 "std_frequency_body_angular_mag_deriv" "double" "standard deviation of frequency domain body angular velocity magnitude derivative" "fBodyBodyGyroJerkMag-std()" 543
67 "subject_id" "integer" "Identifier of the subject under observation" "subject_id" 562
68 "activity" "character" "Activity description" "activity" 564
